left,right_fact,right_must_be,is_misclassified
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,0+1,misclassified,True
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,0+1,misclassified,True
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
misclassified,misclassified,misclassified,False
