PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,cluster_id
-4.729896323,-0.518265193,-0.780909967,-2.308978261,-0.071588481,0.130235114,-1.630590211,-1.183533334,-1.253121791,-1.901717241,2
-3.189255518,-3.469443235,-0.846978195,-1.995653766,-5.106408626,2.123711597,-0.336615165,3.73070608,0.903853181,-1.131431935,2
-3.109053711,0.926310724,-0.665167452,-2.319819809,-2.004918102,1.48417895,-0.269732606,-0.423223994,0.207091774,1.541081283,2
-5.024045831,-2.116388762,-0.196513073,-2.107283996,1.115812079,0.656560059,-2.835246741,-1.00470483,-1.594741546,-0.488362022,4
-4.913454459,-2.915627963,-0.043814039,-0.820240704,-0.974340222,-0.601898688,-3.005331958,0.759334684,0.847618806,0.078789282,4
-5.266653351,0.873187913,0.394195131,0.421428444,4.234822941,-2.483880002,-4.052662327,-0.649853372,0.464880606,0.311989861,4
-5.168656768,1.719606398,-1.386471932,-3.501641906,-1.644141137,-0.607151192,1.221496226,-0.891572516,0.00919198,0.601647075,0
-3.726842956,-0.837362383,-2.422347439,-2.633006749,-2.56108949,-1.525427983,0.859867153,0.471143613,-0.355247693,1.741410614,2
-6.791835626,0.526205613,-1.244504494,-2.577071426,3.755952887,-2.033954203,-4.435367961,-1.837721426,0.592673685,2.036656137,4
-5.508428121,3.721555585,-1.581325394,-3.017838167,3.114692799,-3.099457602,-1.533445967,-0.009096503,1.057312981,3.380136167,0
-4.633336769,-1.342531761,-0.390167965,-2.13210299,-3.827690544,0.506183418,-0.974477066,0.913685635,0.093959731,-1.628784956,2
-4.372896751,4.765433661,-2.293087534,-3.241520509,4.302233636,-3.046011157,0.746013028,-1.744666385,1.360866119,0.169553976,0
-5.876830418,3.425233227,-1.652417167,-2.870326044,2.32642565,-2.931373676,0.670370711,-1.131240122,0.22937202,-0.29251526,0
-4.578192317,0.373672099,-0.863401365,-2.518608382,-0.132159535,-0.061411514,1.704532279,-0.557076104,0.535227545,-0.418671476,0
-5.2120951,1.757268998,0.063649787,-2.283862497,-1.828370782,0.464576415,2.066927302,-0.34298465,-2.985357494,-0.004900393,0
-3.246649176,-2.538988638,0.259881209,-2.033235349,-4.590599699,1.501499641,2.204092654,6.467003365,-2.786061053,11.42634938,2
-5.356616765,0.988504474,-0.749184518,-1.973502795,3.052100796,-1.619006767,-2.218886478,-1.973259964,-1.190509354,1.222068111,0
-3.20371564,-0.322657259,-1.376457427,-1.556628993,-2.447266389,3.008769355,-0.743249637,-2.11362639,1.731656135,0.397237726,2
-4.561923303,1.178768526,-2.160169524,-2.260255842,1.709670128,-1.426110876,-2.198169098,-0.9344013,1.122435924,-2.037722603,0
-4.849871861,0.560657457,-0.901220474,-1.398659188,-1.403702877,-1.158947045,0.790739484,-1.638545599,0.246247417,0.453576811,0
-4.249128907,-2.380669465,-0.497012519,-1.238103204,0.765165505,0.378528974,-3.76703133,-0.163296037,-2.002328566,1.338630023,4
-4.263175497,-2.632938199,-1.301330721,-1.449162644,-0.72168913,0.725294105,-2.180133909,-0.039754885,-1.610188449,2.490262246,4
-4.512233215,2.200977442,-1.723650708,-1.64269247,0.268726271,-0.96783875,0.862737545,-1.850517185,0.068246396,-2.12375888,0
-4.878815129,-0.162257245,-1.744805369,-2.39485012,-1.680581714,0.526235113,2.206353865,0.892829961,0.873112504,-1.178922089,0
-5.369889568,0.550760577,-3.430503997,-2.272484556,-1.753452832,-0.684429798,2.399472442,1.058615555,0.660342257,-0.830267502,0
-2.745151176,0.008954409,0.176324233,-0.419113782,-1.308536253,0.272792263,-1.325309716,1.059046231,3.581957792,1.268562056,2
-5.799660073,2.232566036,-2.497202198,-2.674221186,-0.177377408,-0.623126951,1.294501711,-0.756554909,-1.429644644,0.137291992,0
-5.495919369,1.430354669,-1.150520179,-2.942515167,1.640450357,-0.727152355,2.060186139,-1.286950874,-0.243911595,0.599176464,0
-5.337049468,1.259967834,-1.515561606,-2.851493579,-1.954359149,-0.385661089,1.68504662,0.834256269,-0.72233567,0.545624871,0
-5.038503945,-0.296517667,-1.00979414,-1.802328223,-1.53580389,1.427815644,1.351318928,1.711779265,-1.582701399,-1.405096268,0
-4.480410985,-2.282534724,0.244879755,-2.259099569,-6.60957576,3.089194006,0.979667963,1.763623527,-2.059715339,-3.738563853,2
-4.615168173,1.363399385,-0.746044739,-2.565962959,-1.775575548,-1.489942135,1.834272815,-0.19498599,0.065357033,0.96623154,0
-4.646735676,1.782449011,-1.307715216,-2.210998121,0.372017225,-0.825837691,3.881245722,-0.880567165,-0.628862026,0.445990659,0
-5.521367266,0.97054573,-1.511622848,-2.395153654,-2.051552754,-1.199580136,1.2614371,-0.78565187,1.158752514,-1.531577238,0
-3.816460232,-0.02219985,-0.217405234,-2.087321598,-2.546869631,0.007982868,-1.350259344,1.433165703,1.155984049,1.548191177,2
-3.937776808,-0.812319414,-2.469517642,-3.526834741,-1.879677501,-0.420171812,0.628110314,-0.950430007,-2.880114678,1.516270266,0
-5.138857736,1.767522163,-2.131462242,-1.180445208,-0.126726644,-0.693659082,2.455910828,-0.431445323,-1.277366729,0.278666961,0
-3.528179777,-0.335521408,-0.993960268,-2.573631142,-3.54930744,1.383681757,1.488323886,-0.618268028,0.015009049,-0.299421245,0
-4.367814518,-0.099126542,-1.238631075,-3.257861947,-0.771480232,-0.07990124,-2.218357724,-0.744271864,2.297904221,-2.547248249,2
-3.202821077,-1.674284437,-0.97198681,-1.474282396,-0.989621316,-0.421342774,0.907563414,0.814352593,0.054949651,0.855993414,2
-5.085939315,0.367819818,-1.095444381,-3.221749193,-3.676768628,-0.307101075,2.110316422,0.217855412,-1.265106409,3.180348699,2
-4.215430898,2.01968666,-1.473798937,-3.42882194,-0.453978073,-0.227615765,-0.996431514,-2.577183614,-0.788210801,-1.490199107,0
-4.134831841,-0.486840203,-1.789481881,-1.470376221,-4.133320984,-0.130862208,0.304714892,0.294478567,2.976519997,3.099066209,2
-5.424196153,-1.254134122,-0.145966197,-1.571750616,-2.222479795,1.73424389,2.782311699,-1.490475701,0.739136584,0.190691455,0
-4.893363193,-2.671391309,0.518105762,-0.679653537,1.736280599,-0.414585328,-3.815631201,0.639567605,-2.5256335,-1.75085764,4
-3.810752768,0.257343815,0.094283905,-2.027418841,-0.953878663,1.296859975,-1.004838462,0.86411014,1.621633415,0.611858048,2
-5.784924133,2.368259628,-1.282894976,-1.864783307,0.094108805,-0.68843412,1.815472995,-0.513370355,-1.351139028,-1.153734892,0
